Entity,Code,Year,WindConsumptionTWh,HydroConsumptionTWh,SolarConsumptionTWh,NuclearConsumptionTWh,BiofuelsConsumptionTWh,GeoBiomassTWh,CoalTWh,OilConsumptionTWh,GasConsumptionTWh,Population
New Zealand,NZL,2019,5.9458770751953125,67.47734069824219,0.3363330662250519,0,0,8.98183822631836,17.8377628326416,100.9011001586914,48.06125259399414,4979200
New Zealand,NZL,2020,6.053062915802002,63.735294342041016,0.42081528902053833,0,0,9.017192840576172,17.07594871520996,82.86809539794922,45.74602508544922,5090200
New Zealand,NZL,2021,6.913506031036377,63.384334564208984,0.536044716835022,0,9.01457691192627,20.031789779663086,80.81326293945312,38.81425094604492,5122600
North Macedonia,MKD,1990,0,1.4518816471099854,0,0,0,0,15.466760635375977,12.740926742553711,0,1996218
North Macedonia,MKD,1991,0,2.5075268745422363,0,0,0,0,15.533597946166992,11.40630054473877,0,1993304
North Macedonia,MKD,1992,0,2.5075268745422363,0,0,0,0,15.442488670349121,12.286931991577148,0,1988659
North Macedonia,MKD,1993,0,1.543548345565796,0,0,0,0,15.519187927246094,13.216734886169434,0,1984024
North Macedonia,MKD,1994,0,2.055107593536377,0,0,0,0,16.1207275390625,10.265978813171387,0,1981713
North Macedonia,MKD,1995,0,2.3685483932495117,0,0,0,0,16.62727165222168,9.655315399169922,0,1983259
North Macedonia,MKD,1996,0,2.5134408473968506,0,0,0,0,16.087615966796875,14.679261207580566,0,1989441
North Macedonia,MKD,1997,0,2.661290168762207,0,0,0,0,15.046835899353027,12.30549430847168,0,1996869
North Macedonia,MKD,1998,0,3.2024195194244385,0,0,0,0,19.455257415771484,11.074812889099121,0.1914999932050705,2007523
North Macedonia,MKD,1999,0,4.107257843017578,0,0,0,0,16.966890335083008,11.075539588928223,0.3542749881744385,2017142
North Macedonia,MKD,2000,0,3.4596774578094482,0,0,0,0,15.544995307922363,11.268543243408203,0.5745000243186951,2026350
North Macedonia,MKD,2001,0,1.8390552997589111,0,0,0,0,17.18798828125,9.231522560119629,0.765999972820282,2034882
North Macedonia,MKD,2002,0,2.2095577716827393,0,0,0,0,14.942584037780762,10.424202919006348,0.7851499915122986,2020157
North Macedonia,MKD,2003,0,3.9847705364227295,0,0,0,0,17.20545768737793,10.086402893066406,0.6989750266075134,2026773
North Macedonia,MKD,2004,0,4.270607948303223,0,0,0,0,16.35015106201172,10.276314735412598,0.6800000071525574,2032544
North Macedonia,MKD,2005,0,4.272212982177734,0,0,0,0,16.966041564941406,10.581573486328125,0.727014422416687,2036855
North Macedonia,MKD,2006,0,4.694917678833008,0,0,0,0,16.486873626708984,11.128955841064453,0.7785819172859192,2040228
North Macedonia,MKD,2007,0,2.8558971881866455,0,0,0,0,16.917695999145508,12.07359504699707,0.993434727191925,2043559
North Macedonia,MKD,2008,0,2.3604488372802734,0,0,0,0,17.337875366210938,10.888533592224121,1.1295522451400757,2046898
North Macedonia,MKD,2009,0,3.5467443466186523,0,0,0,0,15.550030708312988,11.39299201965332,0.7484022378921509,2050671
North Macedonia,MKD,2010,0,6.747432231903076,0.00007222222484415397,0,0,0,15.057268142700195,10.972304344177246,1.108536720275879,2055004
North Macedonia,MKD,2011,0,3.9531519412994385,0.0032222222071141005,0,0,0,17.196571350097656,11.368758201599121,1.282521367073059,2058539
North Macedonia,MKD,2012,0,2.8543546199798584,0.007777777966111898,0,0,0,16.186948776245117,10.987784385681152,1.3308441638946533,2061044
North Macedonia,MKD,2013,0,4.316971778869629,0.024666666984558105,0,0,0,13.540367126464844,10.72403621673584,1.5065966844558716,2064032
North Macedonia,MKD,2014,0.19135166704654694,3.2689359188079834,0.038962222635746,0,0,0,12.528789520263672,10.6401948928833,1.2925000190734863,2067471
North Macedonia,MKD,2015,0.3252222239971161,5.022912979125977,0.06086111068725586,0,0,0.020219000056385994,11.296521186828613,11.407449722290039,1.301955223083496,2070226
North Macedonia,MKD,2016,0.29308998584747314,5.079263687133789,0.06344583630561829,0,0,0.03603300079703331,10.188275337219238,12.802809715270996,2.047034502029419,2072490
North Macedonia,MKD,2017,0.2940194308757782,2.9547746181488037,0.06320833414793015,0,0,0.05155099928379059,11.13589096069336,12.185035705566406,2.6348536014556885,2074502
North Macedonia,MKD,2018,0.25752973556518555,4.739470958709717,0.060290832072496414,0,0,0.05404999852180481,10.049073219299316,11.69250774383545,2.4298930168151855,2076217
North Macedonia,MKD,2019,0.2683577835559845,3.0674126148223877,0.061225831508636475,0,0,0.05510300025343895,11.909485816955566,12.734196662902832,2.83788800239563,2076694
North Macedonia,MKD,2020,0.3069738745689392,3.354146957397461,0.06181500107049942,0,0,0.057298000901937485,8.174518585205078,11.724160194396973,3.2411060333251953,2072531
North Macedonia,MKD,2021,0.2703969478607178,3.7984282970428467,0.06618361175060272,0,0,0.0538179986178875,7.041154384613037,13.619163513183594,4.086712837219238,2065092
Norway,NOR,1965,0,146.22903442382812,0,0,0,0,8.877423286437988,60.31652069091797,0,3723168
Norway,NOR,1966,0,144.13548278808594,0,0,0,0,8.173680305480957,68.08451080322266,0,3753012
Norway,NOR,1967,0,157.61048889160156,0,0,0,0,8.581207275390625,70.49037170410156,0,3784539
Norway,NOR,1968,0,178.02554321289062,0,0,0,0,8.734723091125488,78.40631866455078,0,3816486
Norway,NOR,1969,0,169.6454315185547,0,0,0,0,9.731426239013672,86.18964385986328,0,3847707
Norway,NOR,1970,0,170.93763732910156,0,0,0,0,9.94044017791748,97.02359008789062,0,3875763
Norway,NOR,1971,0,187.01478576660156,0,0,0,0,9.348031044006348,96.00080108642578,0,3903039
Norway,NOR,1972,0,199.35134887695312,0,0,0,0,10.149791717529297,100.55224609375,0,3933004
Norway,NOR,1973,0,215.46693420410156,0,0,0,0,10.911312103271484,102.16668701171875,0,3960612
Norway,NOR,1974,0,226.4965057373047,0,0,0,0,12.09710693359375,92.95791625976562,0,3985258
Norway,NOR,1975,0,228.6639862060547,0,0,0,0,11.502116203308105,96.23274993896484,0,4007313
